,ZoneCode,ZoneName,RegeionCode,RegeionName,ProductCategoryName,BusinessNature,Budget,Sales
556,Z37,Brahmanbaria,R151,Brahmanbaria - B,FUROTIL,G,"71,799","58,055"
557,Z37,Brahmanbaria,R151,Brahmanbaria - B,LEXOPIL,G,"1,687","1,874"
558,Z37,Brahmanbaria,R151,Brahmanbaria - B,ROCEF,G,"8,051","10,281"
559,Z37,Brahmanbaria,R151,Brahmanbaria - B,SYNFLEX,G,0,0
560,Z37,Brahmanbaria,R151,Brahmanbaria - B,VORIFAST,G,"48,726","44,378"
561,Z37,Brahmanbaria,R153,MADHOBPUR,AROXOL,G,"2,414","1,612"
562,Z37,Brahmanbaria,R153,MADHOBPUR,CANDINIL,G,"20,780","19,102"
563,Z37,Brahmanbaria,R155,Brahmanbaria - C,ALINIX,G,"10,072","19,833"
564,Z37,Brahmanbaria,R155,Brahmanbaria - C,BROMOXOL,G,"1,601",918
565,Z37,Brahmanbaria,R155,Brahmanbaria - C,FERISEN,G,"54,505","86,401"
566,Z37,Brahmanbaria,R155,Brahmanbaria - C,MYOREL,G,"1,968","2,524"
