,ZoneCode,ZoneName,RegeionCode,RegeionName,ProductCategoryName,BusinessNature,Budget,Sales
315,Z37,Brahmanbaria,R321,NABINAGAR,BONTIV,G,"17,883","18,135"
316,Z37,Brahmanbaria,R321,NABINAGAR,DENVAR,G,"479,201","461,762"
317,Z37,Brahmanbaria,R321,NABINAGAR,EMISTAT,G,"158,461","172,561"
318,Z37,Brahmanbaria,R321,NABINAGAR,ESITA,G,"35,832","47,002"
319,Z37,Brahmanbaria,R321,NABINAGAR,FUROTIL,G,"76,248","69,633"
320,Z37,Brahmanbaria,R321,NABINAGAR,HYALGUN,G,0,0
321,Z37,Brahmanbaria,R321,NABINAGAR,NEOPENEM,G,"12,369","39,468"
322,Z37,Brahmanbaria,R321,NABINAGAR,ROCEF,G,"26,990","28,546"
323,Z37,Brahmanbaria,R321,NABINAGAR,ROCIPRO,G,"2,204","1,574"
324,Z37,Brahmanbaria,R321,NABINAGAR,ROSELA,G,"10,660","20,151"
325,Z37,Brahmanbaria,R321,NABINAGAR,ZOPIME,G,0,0
326,Z37,Brahmanbaria,R324,KOSBA,ALCET,G,"265,327","251,946"
327,Z37,Brahmanbaria,R324,KOSBA,CLACIDO,G,"65,331","89,971"
328,Z37,Brahmanbaria,R324,KOSBA,D-VINE,G,"7,286","12,384"
329,Z37,Brahmanbaria,R324,KOSBA,NAPRYN,G,"108,410","118,455"
330,Z37,Brahmanbaria,R324,KOSBA,NOVEA,G,"2,699","3,238"
331,Z37,Brahmanbaria,R324,KOSBA,OPAL,G,"84,332","103,448"
332,Z37,Brahmanbaria,R324,KOSBA,PALZEN,G,"2,249",375
333,Z37,Brahmanbaria,R324,KOSBA,REEF-D,G,"78,410","102,136"
334,Z37,Brahmanbaria,R324,KOSBA,STENER,G,"7,646","6,522"
335,Z37,Brahmanbaria,R324,KOSBA,TREXAM,G,"1,799",450
336,Z37,Brahmanbaria,R324,KOSBA,ZEROPAIN,G,"18,891","21,635"
337,Z37,Brahmanbaria,R370,SARAIL,ATHENA,G,0,517
338,Z37,Brahmanbaria,R370,SARAIL,LEXOPIL,G,"1,124","2,811"
339,Z37,Brahmanbaria,R370,SARAIL,RENOVIT,G,"34,003","23,276"
340,Z37,Brahmanbaria,R370,SARAIL,SERGEL,G,"2,306,335","2,093,681"
341,Z37,Brahmanbaria,R370,SARAIL,SOLIVO,G,"29,595","26,739"
342,Z37,Brahmanbaria,R370,SARAIL,VISET,G,"123,351","110,697"
343,Z37,Brahmanbaria,R541,AKHAURA,FUROTIL PLUS,G,"127,763","99,598"
344,Z37,Brahmanbaria,R541,AKHAURA,LEXOPIL,G,937,"1,687"
345,Z37,Brahmanbaria,R541,AKHAURA,RENOVIT,G,"36,912","34,738"
346,Z37,Brahmanbaria,R541,AKHAURA,ROZITH,G,"62,706","46,481"
347,Z37,Brahmanbaria,R541,AKHAURA,SERGEL,G,"2,521,641","2,444,670"
348,Z37,Brahmanbaria,R541,AKHAURA,SOLIVO,G,"43,178","29,123"
349,Z37,Brahmanbaria,R541,AKHAURA,VISET,G,"56,758","38,493"
350,Z37,Brahmanbaria,R560,VIS-B.Baria,ALLET DS EYE DROPS,V,"10,255","1,619"
351,Z37,Brahmanbaria,R560,VIS-B.Baria,EFYNAL,G,"1,584","2,558"
352,Z37,Brahmanbaria,R560,VIS-B.Baria,LEPTAL,V,0,0
353,Z37,Brahmanbaria,R560,VIS-B.Baria,MOXIVIN,V,"97,748","63,582"
354,Z37,Brahmanbaria,R560,VIS-B.Baria,PROLIMUS,V,"8,771","7,196"
355,Z37,Brahmanbaria,R560,VIS-B.Baria,QUTAP,V,"17,541","23,276"
356,Z37,Brahmanbaria,R560,VIS-B.Baria,SPECTAZOLE,V,"75,009","57,738"
357,Z37,Brahmanbaria,R560,VIS-B.Baria,TAMISOL MR,V,"23,613","20,465"
358,Z37,Brahmanbaria,R560,VIS-B.Baria,TEMOVATE,V,"5,000","3,967"
359,Z37,Brahmanbaria,R151,Brahmanbaria - B,CEVION,G,0,0
360,Z37,Brahmanbaria,R151,Brahmanbaria - B,CLEOCIN,G,0,0
361,Z37,Brahmanbaria,R151,Brahmanbaria - B,CLONATRIL,G,"44,348",0
362,Z37,Brahmanbaria,R151,Brahmanbaria - B,DENVAR,G,"342,147","364,163"
363,Z37,Brahmanbaria,R151,Brahmanbaria - B,FUROTIL PLUS,G,"158,833","140,006"
364,Z37,Brahmanbaria,R151,Brahmanbaria - B,SOLIVO,G,"46,326","30,360"
365,Z37,Brahmanbaria,R153,MADHOBPUR,ANGENTA,G,"175,036","154,047"
366,Z37,Brahmanbaria,R153,MADHOBPUR,CAFEDON,G,"12,369","1,499"
367,Z37,Brahmanbaria,R153,MADHOBPUR,IBIDA,G,"1,499",750
368,Z37,Brahmanbaria,R153,MADHOBPUR,MENSIL N,G,"25,817","18,576"
369,Z37,Brahmanbaria,R153,MADHOBPUR,OPAL,G,"36,357","29,985"
370,Z37,Brahmanbaria,R153,MADHOBPUR,ROSELA,G,"2,969","3,598"
371,Z37,Brahmanbaria,R153,MADHOBPUR,ROZITH,G,"103,691","51,930"
372,Z37,Brahmanbaria,R153,MADHOBPUR,SYNDOL,G,0,0
373,Z37,Brahmanbaria,R153,MADHOBPUR,VASPINE,G,"1,439","2,399"
374,Z37,Brahmanbaria,R155,Brahmanbaria - C,ALCET,G,"170,275","179,533"
375,Z37,Brahmanbaria,R155,Brahmanbaria - C,AVANZA,G,"11,334","4,273"
376,Z37,Brahmanbaria,R155,Brahmanbaria - C,BONTIV,G,"6,045","5,289"
377,Z37,Brahmanbaria,R155,Brahmanbaria - C,LYRIC,G,"43,403","44,798"
378,Z37,Brahmanbaria,R155,Brahmanbaria - C,NIRVANA,G,0,114
379,Z37,Brahmanbaria,R155,Brahmanbaria - C,RENOVIT,G,"32,204","45,540"
380,Z37,Brahmanbaria,R155,Brahmanbaria - C,ROCIPRO,G,"1,475",846
381,Z37,Brahmanbaria,R155,Brahmanbaria - C,ROXETIL,G,"1,709",712
382,Z37,Brahmanbaria,R155,Brahmanbaria - C,STENER,G,"5,847","6,184"
